Grid	number	x	y	z (Gaus)
D	1	-7.64E-01	2.14E-01	1.43E-01
D	2	-7.63E-01	2.12E-01	1.55E-01
D	3	-7.62E-01	2.09E-01	1.66E-01
D	4	-7.62E-01	2.03E-01	1.74E-01
D	5	-3.80E-01	7.00E-01	1.42E-01
D	6	-3.84E-01	7.01E-01	1.47E-01
D	7	-3.84E-01	7.03E-01	1.53E-01
D	8	-7.67E-01	2.18E-01	1.22E-01
D	9	-7.71E-01	2.14E-01	1.25E-01
D	10	-7.80E-01	2.15E-01	1.22E-01
D	11	-7.76E-01	2.15E-01	1.21E-01
C	1	-7.59E-01	2.08E-01	1.56E-01
C	2	-7.56E-01	2.04E-01	1.70E-01
C	3	-7.58E-01	2.08E-01	1.79E-01
C	4	-7.62E-01	2.15E-01	1.63E-01
C	5	-7.67E-01	2.16E-01	1.50E-01
C	6	-7.60E-01	2.16E-01	1.60E-01
C	7	-7.53E-01	2.13E-01	1.76E-01
C	8	-7.48E-01	2.19E-01	1.85E-01
C	9	-7.41E-01	2.10E-01	2.00E-01
C	10	-7.45E-01	2.05E-01	1.93E-01
C	11	-7.44E-01	2.00E-01	2.08E-01
C	12	-7.48E-01	2.02E-01	1.98E-01
A	1	-7.65E-01	2.24E-01	1.33E-01
A	2	-7.59E-01	2.26E-01	1.46E-01
A	3	-7.56E-01	2.24E-01	1.56E-01
A	4	-7.63E-01	2.30E-01	1.39E-01
A	5	-7.64E-01	2.28E-01	1.30E-01
A	6	-7.73E-01	2.31E-01	1.14E-01
A	7	-7.73E-01	2.25E-01	1.04E-01
A	8	-7.71E-01	2.22E-01	1.19E-01
A	9	-7.72E-01	2.19E-01	1.09E-01
A	10	-7.77E-01	2.24E-01	9.10E-02
A	11	-7.76E-01	2.21E-01	7.60E-02
A	12	-7.74E-01	2.29E-01	8.90E-02
B	1	-7.71E-01	2.18E-01	1.04E-01
B	2	-7.72E-01	2.17E-01	9.10E-02
B	3	-7.80E-01	2.19E-01	7.70E-02
B	4	-3.73E-01	7.07E-01	1.08E-01
B	5	-3.75E-01	7.13E-01	9.20E-02
B	6	-3.73E-01	7.13E-01	7.50E-02
B	7	-3.78E-01	7.18E-01	5.90E-02
B	8	-7.79E-01	2.25E-01	9.50E-02
B	9	-7.74E-01	2.25E-01	7.20E-02
B	10	-7.76E-01	2.26E-01	5.60E-02
E	1	-3.73E-01	7.07E-01	1.08E-01
