Quadrant	Grid	number	level	x	y	z (Gaus)
2	B	1	6	991	896.8	-349.3
2	B	2	6	869	265.67	-345.1
2	B	3	6	545.8	-36.93	-211.7
2	B	4	6	915.2	13.08	1.427
2	B	5	6	744.8	24.12	1.909
2	B	6	6	426.4	7.816	0.686
2	B	7	6	211.43	-1.51	0.48
2	B	8	6	729.8	1212.2	321.8
2	B	9	6	143.96	1014.3	310.2
2	B	10	6	-101.13	625.4	190.64
1	B	1	6	997.9	873	-329.8
1	B	2	6	849.9	261.34	-321.7
1	B	3	6	531.9	-24.49	-198.29
1	B	4	6	935.4	2.649	-1.511
1	B	5	6	763.8	18.16	5.36
1	B	6	6	438.8	11.061	3.753
1	B	7	6	215.4	13.002	1.728
1	B	8	6	780.4	1220.2	296.7
1	B	9	6	166.69	1075.2	305.5
1	B	10	6	-118.66	689.5	190.06
